Date,Open,High,Low,Close,Adj Close,Volume
2015-05-04,81.029999,81.029999,81.029999,81.029999,56.268799,0
2015-05-05,80.059998,80.059998,80.059998,80.059998,55.595207,0
2015-05-06,79.919998,79.919998,79.919998,79.919998,55.497990,0
2015-05-07,80.320000,80.320000,80.320000,80.320000,55.775757,0
2015-05-08,81.180000,81.180000,81.180000,81.180000,56.372967,0
2015-05-11,81.089996,81.089996,81.089996,81.089996,56.310459,0
2015-05-12,81.059998,81.059998,81.059998,81.059998,56.289631,0
2015-05-13,81.260002,81.260002,81.260002,81.260002,56.428520,0
2015-05-14,82.000000,82.000000,82.000000,82.000000,56.942387,0
2015-05-15,82.150002,82.150002,82.150002,82.150002,57.046547,0
2015-05-18,82.690002,82.690002,82.690002,82.690002,57.421535,0
2015-05-19,82.489998,82.489998,82.489998,82.489998,57.282650,0
2015-05-20,82.379997,82.379997,82.379997,82.379997,57.206264,0
2015-05-21,82.440002,82.440002,82.440002,82.440002,57.247936,0
2015-05-22,82.440002,82.440002,82.440002,82.440002,57.247936,0
2015-05-26,81.720001,81.720001,81.720001,81.720001,56.747952,0
2015-05-27,82.330002,82.330002,82.330002,82.330002,57.171543,0
2015-05-28,82.059998,82.059998,82.059998,82.059998,56.984055,0
2015-05-29,81.690002,81.690002,81.690002,81.690002,56.727119,0
2015-06-01,81.820000,81.820000,81.820000,81.820000,56.817390,0
2015-06-02,81.889999,81.889999,81.889999,81.889999,56.865997,0
2015-06-03,82.339996,82.339996,82.339996,82.339996,57.178486,0
2015-06-04,81.669998,81.669998,81.669998,81.669998,56.713230,0
2015-06-05,81.860001,81.860001,81.860001,81.860001,56.845169,0
2015-06-08,81.379997,81.379997,81.379997,81.379997,56.511848,0
2015-06-09,81.389999,81.389999,81.389999,81.389999,56.518791,0
2015-06-10,82.330002,82.330002,82.330002,82.330002,57.171543,0
2015-06-11,82.629997,82.629997,82.629997,82.629997,57.379868,0
2015-06-12,82.209999,82.209999,82.209999,82.209999,57.088207,0
2015-06-15,81.809998,81.809998,81.809998,81.809998,56.810440,0
2015-06-16,82.290001,82.290001,82.290001,82.290001,57.143764,0
2015-06-17,82.449997,82.449997,82.449997,82.449997,57.254868,0
2015-06-18,83.019997,83.019997,83.019997,83.019997,57.650692,0
2015-06-19,82.940002,82.940002,82.940002,82.940002,57.595139,0
2015-06-22,83.330002,83.330002,83.330002,83.330002,57.865963,0
2015-06-23,83.540001,83.540001,83.540001,83.540001,58.011791,0
2015-06-24,82.809998,82.809998,82.809998,82.809998,57.504860,0
2015-06-25,82.790001,82.790001,82.790001,82.790001,57.490978,0
2015-06-26,82.779999,82.779999,82.779999,82.779999,57.484032,0
2015-06-29,81.080002,81.080002,81.080002,81.080002,56.303520,0
2015-06-30,81.400002,81.400002,81.400002,81.400002,56.525738,0
2015-07-01,81.830002,81.830002,81.830002,81.830002,56.824333,0
2015-07-02,81.800003,81.800003,81.800003,81.800003,56.803509,0
2015-07-06,81.589996,81.589996,81.589996,81.589996,56.657673,0
2015-07-07,81.879997,81.879997,81.879997,81.879997,56.859055,0
2015-07-08,80.510002,80.510002,80.510002,80.510002,55.907703,0
2015-07-09,80.889999,80.889999,80.889999,80.889999,56.171585,0
2015-07-10,81.660004,81.660004,81.660004,81.660004,56.706291,0
2015-07-13,82.459999,82.459999,82.459999,82.459999,57.261822,0
2015-07-14,82.809998,82.809998,82.809998,82.809998,57.504860,0
2015-07-15,82.389999,82.389999,82.389999,82.389999,57.213207,0
2015-07-16,82.779999,82.779999,82.779999,82.779999,57.484032,0
2015-07-17,82.480003,82.480003,82.480003,82.480003,57.275715,0
2015-07-20,82.360001,82.360001,82.360001,82.360001,57.192379,0
2015-07-21,81.900002,81.900002,81.900002,81.900002,56.872944,0
2015-07-22,82.120003,82.120003,82.120003,82.120003,57.025719,0
2015-07-23,81.930000,81.930000,81.930000,81.930000,56.893772,0
2015-07-24,81.220001,81.220001,81.220001,81.220001,56.400745,0
2015-07-27,80.339996,80.339996,80.339996,80.339996,55.789646,0
2015-07-28,81.339996,81.339996,81.339996,81.339996,56.484070,0
2015-07-29,82.269997,82.269997,82.269997,82.269997,57.129875,0
2015-07-30,82.430000,82.430000,82.430000,82.430000,57.240986,0
2015-07-31,82.650002,82.650002,82.650002,82.650002,57.393757,0
2015-08-03,82.370003,82.370003,82.370003,82.370003,57.199318,0
2015-08-04,82.519997,82.519997,82.519997,82.519997,57.303478,0
2015-08-05,82.989998,82.989998,82.989998,82.989998,57.629852,0
2015-08-06,81.989998,81.989998,81.989998,81.989998,56.935440,0
2015-08-07,81.889999,81.889999,81.889999,81.889999,56.865997,0
2015-08-10,82.940002,82.940002,82.940002,82.940002,57.595139,0
2015-08-11,82.150002,82.150002,82.150002,82.150002,57.046547,0
2015-08-12,82.139999,82.139999,82.139999,82.139999,57.039604,0
2015-08-13,82.209999,82.209999,82.209999,82.209999,57.088207,0
2015-08-14,82.510002,82.510002,82.510002,82.510002,57.296543,0
2015-08-17,83.150002,83.150002,83.150002,83.150002,57.740971,0
2015-08-18,83.000000,83.000000,83.000000,83.000000,57.636806,0
2015-08-19,82.419998,82.419998,82.419998,82.419998,57.234039,0
2015-08-20,80.720001,80.720001,80.720001,80.720001,56.053528,0
2015-08-21,78.690002,78.690002,78.690002,78.690002,54.643864,0
